iter	Logloss
0	0.6646193398
1	0.6386675021
2	0.6177147025
3	0.5988771748
4	0.5819491369
5	0.5691985843
6	0.5565240755
7	0.5467381377
8	0.5363788897
9	0.5272663345
10	0.5200847261
11	0.513464962
12	0.5078977687
13	0.5024657655
14	0.4982803466
15	0.4950462332
16	0.492297501
17	0.489169352
18	0.4860161808
19	0.4840852705
20	0.4825064987
21	0.4803642346
22	0.4791321956
23	0.477796155
24	0.4758402041
25	0.4743686432
26	0.4728963987
27	0.4718268053
28	0.471152349
29	0.4705860523
30	0.4696821361
31	0.4689102713
32	0.4680108401
33	0.4669406159
34	0.4658474049
35	0.4651215677
36	0.4643436551
37	0.4636919089
38	0.4631550918
39	0.4627563751
40	0.4624881341
41	0.4618887428
42	0.4616776426
43	0.4613525817
44	0.4608202799
45	0.4605382643
46	0.4597502751
47	0.4592765505
48	0.4590377974
49	0.458710976
50	0.4582363192
51	0.4579451859
52	0.4577197714
53	0.4573727454
54	0.4569796882
55	0.4567274648
56	0.4564828267
57	0.4561614488
58	0.455943165
59	0.4554531535
60	0.4551602848
61	0.4550323996
62	0.4549456735
63	0.4547415576
64	0.4544669238
65	0.4543341365
66	0.45421151
67	0.454098416
68	0.4540154392
69	0.4539190784
70	0.4536785966
71	0.4534973001
72	0.453270197
73	0.4531977755
74	0.4530045407
75	0.4528259893
76	0.4525860216
77	0.4525157063
78	0.4524190277
79	0.4523482968
80	0.4522369002
81	0.4519910782
82	0.451792579
83	0.4516129716
84	0.4513534235
85	0.4512819034
86	0.4510980497
87	0.450945214
88	0.4507875499
89	0.4506992076
90	0.4506313522
91	0.4505042502
92	0.4500870028
93	0.4499970875
94	0.4499191767
95	0.4498273621
96	0.4496608432
97	0.4495885899
98	0.4495116803
99	0.4493342404
100	0.4492188153
101	0.4489869973
102	0.4489065641
103	0.4488299625
104	0.4486997453
105	0.4486421294
106	0.4484263505
107	0.4483718756
108	0.4482845689
109	0.4479409807
110	0.4478420615
111	0.4476084307
112	0.4475312423
113	0.4474636816
114	0.447403174
115	0.4473187838
116	0.4471751351
117	0.447032069
118	0.4469999028
119	0.4469423664
120	0.4469157063
121	0.446669905
122	0.4465668711
123	0.4464802797
124	0.4463632507
125	0.4462832709
126	0.4461894838
127	0.4460922603
128	0.4459444487
129	0.445916049
130	0.4457986776
131	0.4457493544
132	0.4456885071
133	0.4456076163
134	0.4455091377
135	0.4454921666
136	0.4453680903
137	0.4452836945
138	0.4452285831
139	0.4451753584
140	0.4450767663
141	0.4450057701
142	0.4449051077
143	0.444847419
144	0.4446012587
145	0.4445296857
146	0.4443683966
147	0.4443001118
148	0.4442160248
149	0.444128807
150	0.4440342574
151	0.4439236879
152	0.4437228005
153	0.4436195022
154	0.4435685032
155	0.4434992248
156	0.4434357899
157	0.4433624804
158	0.4433110222
159	0.4431175952
160	0.4430758546
161	0.4430115014
162	0.4429540991
163	0.4429193801
164	0.4428409587
165	0.4427410246
166	0.4426876035
167	0.4425643146
168	0.4424434732
169	0.4423766406
170	0.4423040505
171	0.4422543618
172	0.4421801177
173	0.4420963533
174	0.442026389
175	0.4419072251
176	0.4418257417
177	0.4417813026
178	0.4416991325
179	0.4416167363
180	0.4415577926
181	0.4414663809
182	0.4414134999
183	0.4413317034
184	0.441195152
185	0.4411181655
186	0.4410542259
187	0.4409916448
188	0.4409342898
189	0.4407731326
190	0.4406868676
191	0.4405952143
192	0.4405123896
193	0.4404291375
194	0.4403517222
195	0.4402502899
196	0.4401867269
197	0.4400824829
198	0.4399923639
199	0.4398906166
200	0.4398183708
201	0.4397400851
202	0.4396604647
203	0.4396004376
204	0.4395101211
205	0.439351583
206	0.4392048014
207	0.4391656731
208	0.4390876437
209	0.4390569024
210	0.4390054614
211	0.43897391
212	0.4389268892
213	0.4388875337
214	0.43880234
215	0.4387052761
216	0.4386094948
217	0.4385204807
218	0.438394992
219	0.438328651
220	0.4382345815
221	0.4381393769
222	0.4380285329
223	0.4379407889
224	0.4378131217
225	0.4377168892
226	0.4376307938
227	0.4375738554
228	0.4375043061
229	0.437411889
230	0.4373293912
231	0.4372213932
232	0.4371184171
233	0.4370058271
234	0.4369267987
235	0.4368319338
236	0.4367546511
237	0.436681105
238	0.4366145653
239	0.4365227759
240	0.4364277813
241	0.436355663
242	0.4362894757
243	0.4361838719
244	0.4360969499
245	0.435983082
246	0.4359126167
247	0.435824771
248	0.4357436386
249	0.4356756014
250	0.4355685147
251	0.4355211472
252	0.4354683709
253	0.4353731208
254	0.4353053579
255	0.4352427967
256	0.4351763942
257	0.4351206092
258	0.4350553153
259	0.4349891546
260	0.434905328
261	0.4348365978
262	0.4347409326
263	0.4346888987
264	0.4346360274
265	0.4345547556
266	0.434474036
267	0.4344052805
268	0.4343276072
269	0.4342816504
270	0.4342142317
271	0.4341451753
272	0.4340713608
273	0.4339888239
274	0.4339339882
275	0.4338462207
276	0.4337842682
277	0.4337141853
278	0.4336378572
279	0.4335415591
280	0.4334657569
281	0.4333895081
282	0.4333249273
283	0.4332557204
284	0.4331872837
285	0.4331144941
286	0.4330492814
287	0.432994302
288	0.4329639903
289	0.4328502131
290	0.4327820049
291	0.4326990756
292	0.4326391567
293	0.432589422
294	0.4325298861
295	0.4324903253
296	0.4324321453
297	0.4323445749
298	0.432289002
299	0.4322359109
300	0.43218873
301	0.4321235607
302	0.4320437982
303	0.4319844003
304	0.4319082823
305	0.4318315766
306	0.4317832708
307	0.4317018245
308	0.4316189662
309	0.4315409253
310	0.4314666696
311	0.4314036566
312	0.43134512
313	0.4312926518
314	0.4312248034
315	0.4311522213
316	0.4310884144
317	0.4310156349
318	0.430945079
319	0.430881913
320	0.4308342548
321	0.4307793623
322	0.4307059791
323	0.4306752132
324	0.4306069253
325	0.4305393026
326	0.4304704859
327	0.4303818197
328	0.4303247054
329	0.4302517832
330	0.4301827872
331	0.4300822117
332	0.4300195883
333	0.4299407142
334	0.4299138795
335	0.4298500425
336	0.4297946779
337	0.4297821579
338	0.4297043147
339	0.4296746975
340	0.4296132191
341	0.4295375637
342	0.4294921358
343	0.4294392344
344	0.4293965712
345	0.4293339895
346	0.4292678574
347	0.429218888
348	0.4291286169
349	0.4290603853
350	0.4289825726
351	0.4289050753
352	0.4288523096
353	0.4287740144
354	0.4287109794
355	0.4286613183
356	0.4286055054
357	0.4285603446
358	0.4285014015
359	0.4284496752
360	0.428396936
361	0.4283378447
362	0.4283033706
363	0.4282424102
364	0.428190121
365	0.4281522076
366	0.4280803667
367	0.4280270014
368	0.4279814701
369	0.4279250785
370	0.4279015722
371	0.4278412873
372	0.4277815311
373	0.4277077401
374	0.4276467767
375	0.4275976339
376	0.4275183981
377	0.4274713908
378	0.4274007415
379	0.4273518682
380	0.4272924222
381	0.4271828183
382	0.427115817
383	0.4270312922
384	0.4269567928
385	0.4269052248
386	0.4268272125
387	0.426766869
388	0.4267194342
389	0.4266849142
390	0.4266378976
391	0.426578587
392	0.4265366962
393	0.4264824105
394	0.426410807
395	0.4263395403
396	0.4262919257
397	0.4262584109
398	0.4262106552
399	0.4261702596
400	0.4261176269
401	0.4260588131
402	0.4259967135
403	0.4259541552
404	0.4259021341
405	0.425858215
406	0.4257921833
407	0.4257787945
408	0.4257173366
409	0.425668582
410	0.4255985665
411	0.4255441355
412	0.4254593496
413	0.4254129401
414	0.4253369625
415	0.4253053306
416	0.4252245127
417	0.4251748376
418	0.4251174654
419	0.4250319418
420	0.4249790058
421	0.4249237178
422	0.4248768412
423	0.4247878819
424	0.4247431176
425	0.4247007259
426	0.4246333725
427	0.4245862198
428	0.4245129981
429	0.4244525801
430	0.4244070649
431	0.4243478528
432	0.4242876613
433	0.4242354193
434	0.4241745759
435	0.4241183413
436	0.4240420236
437	0.4239917703
438	0.4239491326
439	0.4239118297
440	0.4238767067
441	0.4238235073
442	0.4237750871
443	0.4237269487
444	0.4236701398
445	0.4236064644
446	0.4235561697
447	0.4235185617
448	0.4234480625
449	0.4233919153
450	0.423330534
451	0.4232855693
452	0.4232350159
453	0.4231787403
454	0.4231292631
455	0.4230813715
456	0.423027449
457	0.422960769
458	0.4229141868
459	0.4228447285
460	0.4227979347
461	0.4227447048
462	0.4227101814
463	0.4226783665
464	0.4226282521
465	0.4225703188
466	0.4225055693
