iter	Passed	Remaining
0	22	22689
1	65	32908
2	88	29521
3	112	27976
4	136	27193
5	162	26955
6	189	26839
7	213	26493
8	239	26386
9	263	26078
10	287	25826
11	312	25717
12	336	25553
13	361	25483
14	385	25328
15	407	25081
16	434	25097
17	456	24921
18	484	24994
19	507	24849
20	530	24745
21	555	24680
22	576	24505
23	599	24371
24	621	24239
25	653	24496
26	689	24854
27	714	24788
28	737	24693
29	761	24610
30	784	24525
31	811	24534
32	835	24494
33	862	24500
34	884	24394
35	910	24377
36	933	24303
37	959	24282
38	991	24440
39	1013	24321
40	1034	24197
41	1058	24150
42	1079	24031
43	1100	23921
44	1123	23840
45	1143	23715
46	1166	23656
47	1191	23623
48	1212	23529
49	1234	23450
50	1257	23399
51	1279	23330
52	1300	23233
53	1323	23192
54	1345	23119
55	1369	23084
56	1393	23050
57	1416	23009
58	1439	22962
59	1461	22902
60	1486	22881
61	1509	22831
62	1530	22757
63	1554	22736
64	1576	22679
65	1599	22634
66	1622	22595
67	1644	22543
68	1670	22537
69	1693	22502
70	1717	22478
71	1740	22428
72	1762	22381
73	1786	22352
74	1808	22304
75	1834	22297
76	1856	22253
77	1878	22203
78	1901	22167
79	1923	22122
80	1946	22084
81	1968	22038
82	1990	21992
83	2013	21961
84	2035	21909
85	2055	21849
86	2079	21822
87	2101	21775
88	2122	21726
89	2142	21665
90	2165	21634
91	2186	21581
92	2231	21766
93	2253	21723
94	2276	21688
95	2299	21652
96	2321	21615
97	2345	21586
98	2366	21540
99	2388	21499
100	2412	21473
101	2434	21433
102	2456	21393
103	2481	21376
104	2502	21333
105	2526	21306
106	2551	21291
107	2569	21223
108	2594	21204
109	2659	21519
110	2683	21489
111	2707	21469
112	2730	21433
113	2751	21383
114	2774	21350
115	2796	21313
116	2820	21286
117	2843	21257
118	2865	21214
119	2888	21182
120	2910	21141
121	2932	21106
122	2956	21083
123	2980	21056
124	3004	21030
125	3026	20993
126	3049	20961
127	3071	20923
128	3089	20862
129	3109	20812
130	3133	20783
131	3156	20755
132	3178	20718
133	3200	20681
134	3222	20649
135	3240	20583
136	3261	20547
137	3282	20504
138	3305	20473
139	3326	20432
140	3349	20405
141	3373	20383
142	3395	20347
143	3419	20324
144	3441	20294
145	3466	20274
146	3489	20248
147	3511	20215
148	3535	20195
149	3558	20165
150	3582	20143
151	3605	20114
152	3628	20088
153	3653	20069
154	3674	20034
155	3697	20006
156	3719	19971
157	3740	19935
158	3761	19897
159	3787	19882
160	3808	19844
161	3830	19813
162	3851	19779
163	3872	19740
164	3894	19708
165	3917	19680
166	3937	19639
167	3959	19606
168	3983	19589
169	4004	19549
170	4025	19513
171	4046	19479
172	4066	19441
173	4088	19408
174	4110	19377
175	4134	19355
176	4155	19323
177	4177	19291
178	4200	19265
179	4222	19235
180	4245	19211
181	4267	19179
182	4287	19141
183	4311	19120
184	4332	19086
185	4353	19052
186	4376	19028
187	4399	19002
188	4420	18969
189	4443	18945
190	4465	18912
191	4484	18871
192	4507	18849
193	4528	18815
194	4551	18788
195	4574	18762
196	4594	18727
197	4615	18695
198	4638	18670
199	4660	18643
200	4680	18607
201	4701	18573
202	4723	18546
203	4743	18510
204	4763	18472
205	4785	18445
206	4809	18426
207	4828	18387
208	4849	18353
